Node, RMSF(nm) 
307, 2.091884 
308, 2.579256 
309, 1.900659 
310, 1.536541 
311, 1.542544 
312, 1.636183 
313, 1.643074 
314, 1.652632 
315, 1.657878 
316, 1.723575 
317, 1.726016 
318, 1.672664 
319, 1.672401 
320, 2.375097 
321, 3.112738 
322, 1.929406 
323, 1.908338 
324, 1.555575 
325, 1.580847 
326, 1.883581 
327, 1.895818 
328, 1.917840 
329, 1.926116 
330, 2.019324 
331, 2.022402 
332, 1.994551 
333, 1.986180 
334, 2.003868 
335, 2.003997 
336, 1.939920 
337, 1.942492 
338, 2.221057 
339, 2.221218 
340, 2.965137 
341, 2.726558 
342, 1.560180 
343, 1.563009 
344, 1.930151 
345, 1.967720 
346, 2.430530 
347, 2.452709 
348, 2.586526 
349, 2.589270 
350, 2.550094 
351, 2.551563 
352, 2.593226 
353, 2.599838 
354, 2.523864 
355, 2.513811 
356, 2.313971 
357, 2.305157 
358, 1.977414 
359, 1.972699 
360, 2.763216 
361, 6.389908 
362, 4.040937 
363, 3.952027 
364, 2.239780 
365, 2.168089 
366, 1.899628 
367, 1.899013 
368, 1.925598 
369, 1.949353 
370, 2.279380 
371, 2.318543 
372, 2.489988 
373, 2.528067 
374, 2.875399 
375, 2.899148 
376, 3.009493 
377, 3.031816 
378, 3.163398 
379, 3.163804 
380, 3.104256 
381, 3.091352 
382, 3.035798 
383, 3.020728 
384, 2.812454 
385, 2.788310 
386, 2.656535 
387, 2.611703 
388, 2.405055 
389, 2.386887 
390, 2.374502 
391, 2.361150 
392, 2.395922 
393, 2.427767 
394, 3.708252 
395, 3.773785 
396, 6.099172 
397, 6.154489 
398, 3.898965 
399, 3.822423 
400, 2.435862 
401, 2.385527 
402, 2.672161 
403, 2.707538 
404, 3.068054 
405, 3.108929 
406, 3.893542 
407, 3.913864 
408, 3.819684 
409, 3.819380 
410, 3.892826 
411, 3.910156 
412, 3.286705 
413, 3.261428 
414, 3.193631 
415, 3.129840 
416, 2.862217 
417, 2.891980 
418, 3.955253 
419, 4.032077 
420, 6.584945 
